line	trial	Zn	Cu	Fe	Cd
TURKEY_NEBSEL	HWWpanel_2013_Tipton	24.51344345	3.83663805	22.52661362	0.012394504
VISTA	HWWpanel_2013_Tipton	28.51178587	4.686206269	30.69003316	0.019536426
WAHOO	HWWpanel_2013_Tipton	23.91110118	3.665149343	23.75396409	0.014835061
WARRIOR	HWWpanel_2013_Tipton	20.61533405	3.5701415	22.27967256	0.011743476
WESLEY	HWWpanel_2013_Tipton	28.25136828	5.43564135	37.68418454	0.017685473
WINDSTAR	HWWpanel_2013_Tipton	22.18854872	4.066009792	26.72757158	0.01456792
JAGGER	HWWpanel_2013_Tipton	20.40793458	3.818570654	26.89480515	0.015412945
LANCER	HWWpanel_2013_Tipton	24.61343684	3.974608626	28.39953026	0.009271751
SETTLER_CL	HWWpanel_2013_Tipton	20.51147259	3.714481828	23.20495616	0.013685911
ANTON	HWWpanel_2013_Tipton	25.49006858	3.986714104	27.31762868	0.01071026
MACE	HWWpanel_2013_Tipton	24.18517289	4.226554582	24.1234003	0.012360699
JERRY	HWWpanel_2013_Tipton	25.68903435	3.956714254	25.3581167	0.010968264
TAM107-R7	HWWpanel_2013_Tipton	25.11480149	4.280222097	25.19740823	0.011909848
ARLIN	HWWpanel_2013_Tipton	27.11214375	4.637210803	28.85505777	0.011169292
ALICE	HWWpanel_2013_Tipton	23.90529121	4.380282578	27.59290767	0.010885124
DARRELL	HWWpanel_2013_Tipton	28.94674646	4.04802776	30.83207286	0.013645844
EXPEDITION	HWWpanel_2013_Tipton	24.56174646	4.26752776	25.23207286	0.014995844
WENDY	HWWpanel_2013_Tipton	27.26224902	4.130582545	25.90601573	0.016492707
LYMAN	HWWpanel_2013_Tipton	24.91903435	4.187214254	25.5181167	0.010018264
SD01237	HWWpanel_2013_Tipton	26.36752646	4.165186215	23.3344423	0.010540558
SD01058	HWWpanel_2013_Tipton	24.87163489	3.545143408	27.1682493	0.012637732
SD05118	HWWpanel_2013_Tipton	31.29724902	4.647582545	30.17601573	0.018542707
SD05210	HWWpanel_2013_Tipton	27.64713715	4.96918138	27.02797441	0.009896539
SD05W018	HWWpanel_2013_Tipton	25.05517665	4.224510127	26.31890065	0.012359165
NEKOTA	HWWpanel_2013_Tipton	27.06480149	3.786722097	20.07740823	0.015809848
TANDEM	HWWpanel_2013_Tipton	23.35548617	4.046279022	21.19847731	0.012511213
CRIMSON	HWWpanel_2013_Tipton	25.14017665	3.848010127	22.42890065	0.012359165
ROSE	HWWpanel_2013_Tipton	25.7665361	4.379564047	23.77057525	0.011987078
DAWN	HWWpanel_2013_Tipton	23.02522604	3.616267242	22.09752609	0.015096135
WINOKA	HWWpanel_2013_Tipton	32.61366169	4.179319216	26.94452099	0.018152731
NELL	HWWpanel_2013_Tipton	27.51315283	4.18975182	25.88271252	0.015671172
RITA	HWWpanel_2013_Tipton	29.06131943	4.881830509	30.87187145	0.012043288
BRONZE	HWWpanel_2013_Tipton	25.80158652	4.342322516	23.5220919	0.0177937
HUME	HWWpanel_2013_Tipton	21.92680915	4.182890991	26.79237089	0.011718564
GENT	HWWpanel_2013_Tipton	24.77865509	3.526289792	23.63743763	0.015429979
HARDING	HWWpanel_2013_Tipton	24.45174398	4.037875654	28.65698931	0.014829574
HV9W03-1551WP	HWWpanel_2013_Tipton	27.20169084	4.168162994	25.84786352	0.012244138
G1878	HWWpanel_2013_Tipton	27.52815283	3.79025182	24.34771252	0.014271172
HV9W03-1379R	HWWpanel_2013_Tipton	27.74805404	4.09117246	28.02503847	0.013870518
HV9W03-1596R	HWWpanel_2013_Tipton	26.52805404	4.20267246	28.98003847	0.010270518
HV9W05-1280R	HWWpanel_2013_Tipton	24.63700411	3.867387435	21.94294053	0.012494653
HV9W06-504	HWWpanel_2013_Tipton	24.8282644	4.091136173	26.64653608	0.016929284
SPARTAN	HWWpanel_2013_Tipton	33.18376696	4.837690958	28.46547895	0.021376147
HV906-865	HWWpanel_2013_Tipton	28.17365509	4.539789792	24.13743763	0.010979979
TARKIO	HWWpanel_2013_Tipton	27.84055229	4.084322666	25.30757992	0.011051704
SMOKYHILL	HWWpanel_2013_Tipton	21.0590444	3.334294627	24.88890552	0.007823997
SHOCKER	HWWpanel_2013_Tipton	28.11169459	4.742618539	25.80336387	0.018892605
VONA	HWWpanel_2013_Tipton	23.86866169	4.169819216	25.38452099	0.015952731
CO940610	HWWpanel_2013_Tipton	25.16169459	4.724618539	24.84836387	0.012292605
AVALANCHE	HWWpanel_2013_Tipton	27.47250083	4.501493933	25.82123834	0.014681666
BOND_CL	HWWpanel_2013_Tipton	27.44546054	4.13508674	28.25527335	0.013552322
PLATTE	HWWpanel_2013_Tipton	26.35711812	4.023018522	23.36185381	0.0133604
LINDON	HWWpanel_2013_Tipton	23.77400872	4.034521972	22.22991274	0.015859373
CO03W043	HWWpanel_2013_Tipton	23.30660926	4.293451126	23.00004534	0.013428841
CO03W054	HWWpanel_2013_Tipton	25.79651047	3.461871766	21.09237129	0.011678187
THUNDER_CL	HWWpanel_2013_Tipton	26.71015102	4.582817845	23.82069669	0.012950273
CO04025	HWWpanel_2013_Tipton	24.67672083	4.017335479	22.8338689	0.014986953
CO04393	HWWpanel_2013_Tipton	26.72711152	4.248989098	22.35477045	0.009987648
CO04499	HWWpanel_2013_Tipton	28.91557704	5.239886355	32.77182559	0.011703736
CO04W320	HWWpanel_2013_Tipton	25.14514727	4.5958623	26.17019634	0.014201807
LAMAR	HWWpanel_2013_Tipton	22.52750083	3.889493933	23.79123834	0.008481666
CARSON	HWWpanel_2013_Tipton	26.66526558	4.579590297	30.29970371	0.014126233
HAIL	HWWpanel_2013_Tipton	26.7822234	4.991390264	31.66781177	0.018233816
SANDY	HWWpanel_2013_Tipton	18.52026558	3.568590297	19.11470371	0.011276233
DUKE	HWWpanel_2013_Tipton	25.22020041	3.79757496	25.07932213	0.011637243
HALT	HWWpanel_2013_Tipton	29.61672083	4.182835479	24.2038689	0.013236953
HATCHER	HWWpanel_2013_Tipton	26.96004295	4.611521822	27.76942472	0.015001369
PRAIRIE_RED	HWWpanel_2013_Tipton	23.27151047	3.713371766	24.91237129	0.011278187
YUMAR	HWWpanel_2013_Tipton	25.12015102	3.868817845	24.71569669	0.013500273
ABOVE	HWWpanel_2013_Tipton	24.35694641	3.547000206	25.10396374	0.011906466
CO03064	HWWpanel_2013_Tipton	24.48770137	3.919154886	25.94837765	0.01039381
BILL_BROWN	HWWpanel_2013_Tipton	25.86775076	4.158412001	26.69200308	0.01923078
RIPPER	HWWpanel_2013_Tipton	27.61466187	4.537826138	25.70245141	0.011931184
PROWERS	HWWpanel_2013_Tipton	25.47732621	3.671366855	22.36188523	0.010444493
AKRON	HWWpanel_2013_Tipton	21.88415961	3.277788166	23.7527263	0.012972377
JULES	HWWpanel_2013_Tipton	23.29505118	3.840830974	24.6039193	0.018425203
YUMA	HWWpanel_2013_Tipton	23.1175933	4.489358863	27.51710568	0.015044905
TAMW-101	HWWpanel_2013_Tipton	32.71906082	4.737708806	27.54505224	0.019671723
TAM105	HWWpanel_2013_Tipton	29.50966847	4.171855562	27.96453477	0.018753937
TAM107	HWWpanel_2013_Tipton	26.59655907	3.853359012	27.1725937	0.011952909
TAM109	HWWpanel_2013_Tipton	30.44770137	4.403154886	26.75837765	0.01739381
TAM110	HWWpanel_2013_Tipton	25.10927118	3.960172519	21.32154986	0.013730489
TAM111	HWWpanel_2013_Tipton	27.57977375	4.416227304	23.83549272	0.018427352
TAM112	HWWpanel_2013_Tipton	24.87281593	3.670427337	21.86238467	0.017469769
TAM200	HWWpanel_2013_Tipton	23.0675933	4.426858863	25.00210568	0.011594905
TAM202	HWWpanel_2013_Tipton	26.37477375	4.109727304	25.50049272	0.013177352
TAM203	HWWpanel_2013_Tipton	24.82769762	4.652199341	24.6228773	0.013645344
TAM302	HWWpanel_2013_Tipton	28.31801089	4.741423781	28.25795431	0.013695858
TAM303	HWWpanel_2013_Tipton	28.33269762	4.317699341	26.9778773	0.015845344
TAM304	HWWpanel_2013_Tipton	20.84656554	3.853214968	22.8079557	0.011219578
TAM400	HWWpanel_2013_Tipton	24.31125602	3.964446073	22.94337904	0.01506753
LOCKETT	HWWpanel_2013_Tipton	22.34125227	3.863490527	20.73287869	0.011769064
STURDY	HWWpanel_2013_Tipton	29.25011372	4.942150199	25.57759509	0.016426629
STURDY_2K	HWWpanel_2013_Tipton	30.67832839	4.841518491	32.13549412	0.026851073
MIT	HWWpanel_2013_Tipton	31.61114795	4.63215005	27.24710707	0.021768625
CAPROCK	HWWpanel_2013_Tipton	30.37137058	5.370218524	29.08238606	0.018893489
TX01A5936	HWWpanel_2013_Tipton	23.33271426	4.396079353	22.11272769	0.007746098
TAM401	HWWpanel_2013_Tipton	24.55761547	4.772999993	26.25505364	0.011945444
TX02A0252	HWWpanel_2013_Tipton	24.30782583	3.878963706	24.37655125	0.010304209
TX03A0148	HWWpanel_2013_Tipton	30.95011372	4.358150199	28.18259509	0.012126629
TX03A0563	HWWpanel_2013_Tipton	23.91321652	4.130117325	25.6874528	0.013604904
TX04A001246	HWWpanel_2013_Tipton	21.93782583	4.033463706	23.47655125	0.010904209
TX01V5134RC-3	HWWpanel_2013_Tipton	27.35822312	4.958146749	26.60453616	0.013677657
TX04M410164	HWWpanel_2013_Tipton	29.18630541	4.615203188	29.83200448	0.0111045
TX04M410211	HWWpanel_2013_Tipton	25.29088086	4.102658042	28.12688662	0.011268214
TX04V075080	HWWpanel_2013_Tipton	22.35130541	3.917703188	27.92700448	0.0135545
TX99A0153-1	HWWpanel_2013_Tipton	23.97360583	4.280122161	25.65892069	0.008898923
